date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:04	204/204	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Mon,%2011%20Aug%202025%2010:21:03%20GMT	https://nathanfx/robots.txt		(from )
13:21:04	247916/247916	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2008:58:42%20GMT	https://nathanfx/	nathanfx/index.html	(from )
13:21:05	79685/79685	---MCZ	200	added ('OK')	text/css	etag:W/%2213745-68207f68-5f7961a1c7e4df12;br%22	https://nathanfx/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.3.0	nathanfx/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontenda1ec.css	(from https://nathanfx/)
13:21:06	52016/52016	---MCZ	200	added ('OK')	text/css	etag:W/%22cb30-67effb46-4793b154aad239ee;br%22	https://nathanfx/wp-content/themes/finpoan/assets/css/base/gutenberg-blocks.css?ver=1.0.7	nathanfx/wp-content/themes/finpoan/assets/css/base/gutenberg-blocks19f6.css	(from https://nathanfx/)
13:21:06	33453/33453	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%229ebbfd065b9eb90578a9959b713f6a99%22	https://nathanfx/feed/	nathanfx/feed/index.html	(from https://nathanfx/)
13:21:06	706/706	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22bd3f77d0331786e2f7929ad513338440%22	https://nathanfx/comments/feed/	nathanfx/comments/feed/index.html	(from https://nathanfx/)
13:21:07	271/271	---MCZ	200	added ('OK')	text/css	etag:W/%2210f-68209255-2e65ecfc128792fd;;;%22	https://nathanfx/wp-content/plugins/affs/assets/blocks/frontend/index.css?ver=10.8.0	nathanfx/wp-content/plugins/affs/assets/blocks/frontend/index550c.css	(from https://nathanfx/)
13:21:07	288/288	---MCZ	200	added ('OK')	text/css	etag:W/%22120-6820923b-a79486e82b1cb78f;;;%22	https://nathanfx/wp-content/plugins/sumosubscriptions/assets/blocks/frontend/index.css?ver=16.2.0	nathanfx/wp-content/plugins/sumosubscriptions/assets/blocks/frontend/indexd7c2.css	(from https://nathanfx/)
13:21:08	15196/15196	---MCZ	200	added ('OK')	text/css	etag:W/%223b5c-68209255-afe20b21cda9e77;br%22	https://nathanfx/wp-content/plugins/affs/assets/css/select2/select2.min.css?ver=10.8.0	nathanfx/wp-content/plugins/affs/assets/css/select2/select2.min550c.css	(from https://nathanfx/)
13:21:10	35997/35997	---MCZ	200	added ('OK')	text/css	etag:W/%228c9d-68209255-e06f21156b5599d1;br%22	https://nathanfx/wp-content/plugins/affs/assets/css/jquery-ui.css?ver=10.8.0	nathanfx/wp-content/plugins/affs/assets/css/jquery-ui550c.css	(from https://nathanfx/)
13:21:11	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-68209255-dbce90b294c85a9;br%22	https://nathanfx/wp-content/plugins/affs/assets/css/font-awesome.min.css?ver=10.8.0	nathanfx/wp-content/plugins/affs/assets/css/font-awesome.min550c.css	(from https://nathanfx/)
13:21:12	5015/5015	---MCZ	200	added ('OK')	text/css	etag:W/%221397-68209255-9bc6dc5dcd907b9a;br%22	https://nathanfx/wp-content/plugins/affs/assets/css/frontend/frontend-status-button-design.css?ver=10.8.0	nathanfx/wp-content/plugins/affs/assets/css/frontend/frontend-status-button-design550c.css	(from https://nathanfx/)
13:21:13	28548/28548	---MCZ	200	added ('OK')	text/css	etag:W/%226f84-68209255-9533b0c2c9d7e1fc;br%22	https://nathanfx/wp-content/plugins/affs/assets/css/frontend/dashboard.css?ver=10.8.0	nathanfx/wp-content/plugins/affs/assets/css/frontend/dashboard550c.css	(from https://nathanfx/)
13:21:14	4513/4513	---MCZ	200	added ('OK')	text/css	etag:W/%2211a1-68209255-a3b2098285aca924;br%22	https://nathanfx/wp-content/plugins/affs/assets/css/frontend/table-mobile-responsive.css?ver=10.8.0	nathanfx/wp-content/plugins/affs/assets/css/frontend/table-mobile-responsive550c.css	(from https://nathanfx/)
13:21:15	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22b4e-68207f63-fcf71eb3bc0364e2;br%22	https://nathanfx/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	nathanfx/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://nathanfx/)
13:21:16	4315/4315	---MCZ	200	added ('OK')	text/css	etag:W/%2210db-68208fe9-a4a9c25b476daeb4;br%22	https://nathanfx/wp-content/plugins/floating-contact/assets/css/style.min.css?ver=1	nathanfx/wp-content/plugins/floating-contact/assets/css/style.min68b3.css	(from https://nathanfx/)
13:21:17	4315/4315	---MCZ	200	added ('OK')	text/css	etag:W/%2210db-68208fe9-a4a9c25b476daeb4;br%22	https://nathanfx/wp-content/plugins/floating-contact/assets/css/style.min.css?ver=6.8.1	nathanfx/wp-content/plugins/floating-contact/assets/css/style.min0899.css	(from https://nathanfx/)
13:21:18	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%22308-68207f68-3eedd7d4fa14f35b;br%22	https://nathanfx/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.3.0	nathanfx/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementora1ec.css	(from https://nathanfx/)
13:21:19	53465/53465	---MCZ	200	added ('OK')	text/css	etag:W/%22d0d9-688d441a-a62436cd0d3882f2;br%22	https://nathanfx/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1754088474	nathanfx/wp-content/uploads/elementor/css/custom-frontend.min76ad.css	(from https://nathanfx/)
13:21:20	2164/2164	---MCZ	200	added ('OK')	text/css	etag:W/%22874-688d441a-392bea2ed4d68527;br%22	https://nathanfx/wp-content/uploads/elementor/css/post-8.css?ver=1754088474	nathanfx/wp-content/uploads/elementor/css/post-876ad.css	(from https://nathanfx/)
13:21:20	10065/10065	---MCZ	200	added ('OK')	text/css	etag:W/%222751-688d441a-9b26a6b06ac3bd4c;br%22	https://nathanfx/wp-content/uploads/elementor/css/custom-widget-icon-box.min.css?ver=1754088474	nathanfx/wp-content/uploads/elementor/css/custom-widget-icon-box.min76ad.css	(from https://nathanfx/)
13:21:22	10304/10304	---MCZ	200	added ('OK')	text/css	etag:W/%222840-688d441a-496ca57a549c8912;br%22	https://nathanfx/wp-content/uploads/elementor/css/custom-widget-icon-list.min.css?ver=1754088474	nathanfx/wp-content/uploads/elementor/css/custom-widget-icon-list.min76ad.css	(from https://nathanfx/)
13:21:23	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%22fe-68207f66-45d0ec253a01df1a;;;%22	https://nathanfx/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.28.4	nathanfx/wp-content/plugins/elementor/assets/css/widget-image.min89ce.css	(from https://nathanfx/)
13:21:24	793/793	---MCZ	200	added ('OK')	text/css	etag:W/%22319-68207f66-2f9860b18c7bb3ef;br%22	https://nathanfx/wp-content/plugins/elementor/assets/css/widget-counter.min.css?ver=3.28.4	nathanfx/wp-content/plugins/elementor/assets/css/widget-counter.min89ce.css	(from https://nathanfx/)
13:21:25	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%22258-68207f66-bbadc37bda41b0a6;br%22	https://nathanfx/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.28.4	nathanfx/wp-content/plugins/elementor/assets/css/widget-heading.min89ce.css	(from https://nathanfx/)
13:21:26	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%224057-68207f66-f649353984cd821d;br%22	https://nathanfx/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	nathanfx/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://nathanfx/)
13:21:27	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%22156e-68207f66-c2dad13f9c202585;br%22	https://nathanfx/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.28.4	nathanfx/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min89ce.css	(from https://nathanfx/)
13:21:27	382/382	---MCZ	200	added ('OK')	text/css	etag:W/%2217e-68207f66-2da95fc300ccdf31;br%22	https://nathanfx/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.28.4	nathanfx/wp-content/plugins/elementor/assets/css/widget-image-carousel.min89ce.css	(from https://nathanfx/)
13:21:29	1833/1833	---MCZ	200	added ('OK')	text/css	etag:W/%22729-68207f66-97ee95185096774e;br%22	https://nathanfx/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.28.4	nathanfx/wp-content/plugins/elementor/assets/css/widget-spacer.min89ce.css	(from https://nathanfx/)
13:21:30	5164/5164	---MCZ	200	added ('OK')	text/css	etag:W/%22142c-68207f66-d0440133a38598a7;br%22	https://nathanfx/wp-content/plugins/elementor/assets/css/widget-nested-accordion.min.css?ver=3.28.4	nathanfx/wp-content/plugins/elementor/assets/css/widget-nested-accordion.min89ce.css	(from https://nathanfx/)
